Tabel Kemampuan Uji Laboratorium Obat dan Nappza;;;;;;;;;;
;;;;;;;;;;
NO;ZAT AKTIF;JENIS SEDIAAN;BENTUK SEDIAAN;PARAMETER UJI ;Metode Uji (PNBP);Jumlah Sampel;;Harga;"Harga Total
(sudah termasuk organoleptik)";
;;;;;;Minimal;Satuan;;;
;;;;;;;;;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;Rp851.297;;
;;;;Keseragaman Kandungan;Spektrofotometri UV-Vis;10;;;;
;;;;Disolusi;;12;;Rp1.550.055;;
71;PIRANTEL PAMOAT;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;;
;;;;Identifikasi;Spektrofotometri UV-Vis;20;;;;
;;;;Penetapan Kadar;;20;;Rp851.297;;
72;PRIMAQUINE PHOSPHATE;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;;
;;;;Identifikasi;KCKT;20;;Rp1.550.055;;
;;;;Penetapan kadar;;20;;Rp851.297;;
;;;;Keseragaman Kandungan;;10;;;;
;;;;Disolusi;;12;;;;
73;PYRANTEL PAMOATE;Oral;Suspensi;Pemerian;organoleptik;3;Botol;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;;;
;;;;pH ;pH meter;3;;Rp851.297;;
74;QUININE SULFATE;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;Rp1.550.055;;
;;;;Keseragaman Sediaan;Spektrofotometri UV-Vis;10;;;;
;;;;Disolusi ;;12;;Rp851.297;;
75;DIETHYLCARBAMAZINE CITRATE;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Disolusi;;12;;Rp1.550.055;;
;;;;Penetapan Kadar;;20;;Rp851.297;;
76;MEBENDAZOLE;Oral;Tablet Kunyah;Pemerian;organoleptik;3;Tablet;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;Rp851.297;;
;;;;Keseragaman Sediaan;Spektrofotometri UV-Vis;10;;;;
;;;;Disolusi;KCKT;12;;;;
77;METRONIDAZOLE;Steril;Injeksi;Pemerian;organoleptik;3;Vial;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;;;
;;;;pH ;pH meter;3;;Rp851.297;;
78;METRONIDAZOLE;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar ;;20;;;;
;;;;Keseragaman Sediaan;Spektrofotometri UV-Vis;10;;;;
;;;;Disolusi;;12;;;;
79;METAMFETAMINA;-;Serbuk/ kristal;Identifikasi;"a. Uji Reaksi Warna

 ";0,1;gram;Rp90.190;;
;;;;;b. Uji Kromatografi Lapis Tipis 1 dimensi - Spektofotometri UV-Vis;;;;;
;;;;;c. Uji Kromatografi gas dengan spektro massa (untuk pemastian);;;;;
80;MDMA;-;Tablet;Identifikasi;"a. Uji Reaksi Warna

 ";1;Tablet;Rp90.190;;
;;;;;b. Uji Kromatografi Lapis Tipis 1 dimensi - Spektofotometri UV-Vis;;;;;
;;;;;c. Uji Kromatografi gas dengan spektro massa (untuk pemastian);;;;;
81;GANJA;-;Simplisia;Identifikasi;"a. Uji Reaksi Warna



 ";0,5;gram;Rp90.190;;
82;ETORICOXIB;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;;
;;;;Identifikasi;KCKT;;;;;
;;;;Penetapan Kadar;;20;;;;
;;;;Keseragaman Sediaan;penimbangan;10;;;;
;;;;Disolusi;Spektrofotometri UV-Vis;12;;Rp1.550.055;;
83;SIMVASTATIN;Oral;Tablet;Pemerian;organoleptik;3;Tablet;;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan kadar;;20;;;;
;;;;Keseragaman Kandungan;;10;;;;
84;KETOCONAZOLE;Oral;Tablet;Pemerian;organoleptik;3;Tablet;;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan kadar;;20;;;;
;;;;Keseragaman Bobot;Penimbangan;10;;;;
;;;;Disolusi;Spektrofotometri UV-Vis;12;;;;
85;Guaiafenesin;Oral;Tablet;Pemerian;organoleptik;3;Tablet;;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan kadar;;20;;;;
;;;;Keseragaman Bobot;Penimbangan;10;;;;
;;;;Disolusi;Spektrofotometri UV-Vis;12;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
